feature,true_coefficient,is_relevant
x1,5.0,True
x2,-4.0,True
x3,3.5,True
x4,-3.0,True
x5,2.5,True
x6,-2.0,True
x7,1.5,True
x8,-1.25,True
x9,1.0,True
x10,-0.75,True
x11,0.0,False
x12,0.0,False
x13,0.0,False
x14,0.0,False
x15,0.0,False
x16,0.0,False
x17,0.0,False
x18,0.0,False
x19,0.0,False
x20,0.0,False
x21,0.0,False
x22,0.0,False
x23,0.0,False
x24,0.0,False
x25,0.0,False
x26,0.0,False
x27,0.0,False
x28,0.0,False
x29,0.0,False
x30,0.0,False
x31,0.0,False
x32,0.0,False
x33,0.0,False
x34,0.0,False
x35,0.0,False
x36,0.0,False
x37,0.0,False
x38,0.0,False
x39,0.0,False
x40,0.0,False
x41,0.0,False
x42,0.0,False
x43,0.0,False
x44,0.0,False
x45,0.0,False
x46,0.0,False
x47,0.0,False
x48,0.0,False
x49,0.0,False
x50,0.0,False
x51,0.0,False
x52,0.0,False
x53,0.0,False
x54,0.0,False
x55,0.0,False
x56,0.0,False
x57,0.0,False
x58,0.0,False
x59,0.0,False
x60,0.0,False
x61,0.0,False
x62,0.0,False
x63,0.0,False
x64,0.0,False
x65,0.0,False
x66,0.0,False
x67,0.0,False
x68,0.0,False
x69,0.0,False
x70,0.0,False
x71,0.0,False
x72,0.0,False
x73,0.0,False
x74,0.0,False
x75,0.0,False
x76,0.0,False
x77,0.0,False
x78,0.0,False
x79,0.0,False
x80,0.0,False
x81,0.0,False
x82,0.0,False
x83,0.0,False
x84,0.0,False
x85,0.0,False
x86,0.0,False
x87,0.0,False
x88,0.0,False
x89,0.0,False
x90,0.0,False
x91,0.0,False
x92,0.0,False
x93,0.0,False
x94,0.0,False
x95,0.0,False
x96,0.0,False
x97,0.0,False
x98,0.0,False
x99,0.0,False
x100,0.0,False
